split,label,pos,neg,AUROC,AUPRC,F1@0.5
valid,VIP,12,99,0.8998316498316499,0.8269526023467808,0.5
valid,VEIP,46,65,0.9872909698996656,0.985355548393798,0.9333333333333333
valid,VINIP,29,82,0.9142136248948696,0.7583135292057295,0.8064516129032258
valid,MAP,4,107,1.0,1.0,0.8571428571428571
valid,PIP,1,110,0.9636363636363636,0.2,0.0
valid,RTIP,14,97,0.9646539027982327,0.7251755508891121,0.7692307692307693
valid,SFIP,13,98,0.8610675039246468,0.7020610596341172,0.6666666666666666
test_hom40,VIP,10,99,0.996969696969697,0.9769230769230769,0.8235294117647058
test_hom40,VEIP,39,70,0.9216117216117216,0.9043116853046637,0.7777777777777778
test_hom40,VINIP,22,87,0.9211076280041797,0.784874860653719,0.7111111111111111
test_hom40,MAP,6,103,1.0,1.0,1.0
test_hom40,PIP,6,103,0.5080906148867315,0.20374432330954068,0.0
test_hom40,RTIP,19,90,0.9929824561403509,0.969590675605422,0.8888888888888888
test_hom40,SFIP,10,99,0.9181818181818182,0.6115508365508365,0.42857142857142855
